"uniprot_ac",entrez_id,uniprot_ac_reviewed
"Q9H8Y5",55139,1
"Q9NQW6",54443,1
"Q99873",3276,1
"P55345",3275,1
"O60678",10196,1
"O14744",10419,1
"Q96LA8",55170,1
"Q9NVM4",54496,1
"Q9NR22",56341,1
"Q6P2P2",90826,1
"Q9NW15",55129,1
"Q5XXA6",55107,1
"Q9NQ90",57101,1
"Q9BYT9",63982,1
"Q32M45",121601,1
"Q75V66",203859,1
"Q4KMQ2",196527,1
"Q6IWH7",50636,1
"Q9HCE9",57719,1
"A1A5B4",338440,1
"P16066",4881,1
"P20594",4882,1
"P17342",4883,1
"Q9NXR5",55608,1
"Q6UB99",29123,1
"Q6UB98",23253,1
"Q6P6B7",54522,1
"O75179",26057,1
"Q5VYY1",118932,1
"Q86SG2",200539,1
"Q8TF21",170961,1
"Q9UPS8",22852,1
"Q96NW4",84079,1
"O15084",23243,1
"Q8N6D5",147463,1
"Q8N7Z5",256006,1
"Q9BQI6",84250,1
"Q7Z3H0",341405,1
"Q8N283",148741,1
"Q7Z713",353322,1
"Q53RE8",51239,1
"Q6AI12",91369,1
"Q8N9B4",338699,1
"Q8N8A2",91526,1
"Q5TZF3",339416,1
"Q86W74",157567,1
"Q8WVL7",54851,1
"Q9ULJ7",57182,1
"Q8NB46",283373,1
"Q8N9V6",79998,1
"Q6NXT1",129138,1
"Q3KP44",79722,1
"A6NGH8",100310846,1
"A6NC57",342850,1
"C9JTQ0",100131244,1
"E5RJM6",441869,1
"B4E2M5",100287718,1
"Q9H9E1",57763,1
"Q92625",23294,1
"Q7Z6G8",56899,1
"Q8N8V4",257629,1
"P01008",462,1
"Q9H6X2",84168,1
"P58335",118429,1
"A6NF34",195977,1
"Q9UJ72",11199,1
"P50995",311,1
"P27216",312,1
"P04083",301,1
"P07355",302,1
"P12429",306,1
"P09525",307,1
"P08758",308,1
"P08133",309,1
"P20073",310,1
"P13928",653145,1
"P13928",728113,1
"O76027",8416,1
"P28039",313,1
"P19801",26,1
"O75106",314,1
"Q16853",8639,1
"P21397",4128,1
"P27338",4129,1
"Q06278",316,1
"O60641",9892,1
"Q63HQ0",55435,1
"Q10567",162,1
"O43747",164,1
"O75843",8906,1
"Q9BXS5",8907,1
"Q9Y6Q5",10053,1
"P61966",1174,1
"P56377",8905,1
"Q96PC3",130340,1
"O95782",160,1
"O94973",161,1
"P05549",7020,1
"P63010",163,1
"Q92481",7021,1
"Q92754",7022,1
"Q7Z6R9",83741,1
"Q6VUC0",339488,1
"Q96CW1",1173,1
"P53680",1175,1
"O00203",8546,1
"Q13367",8120,1
"O14617",8943,1
"Q9Y2T2",26985,1
"P53677",10947,1
"Q92572",1176,1
"P59780",10239,1
"Q96N21",146705,1
"P50583",318,1
"Q9Y6B7",10717,1
"Q9UPM8",23431,1
"O00189",9179,1
"Q9Y587",11154,1
"Q2VPB7",91056,1
"Q9H0R1",55745,1
"Q9NUS5",55317,1
"O43299",9907,1
"O14727",317,1
"Q02410",320,1
"Q99767",321,1
"O96018",9546,1
"O00213",322,1
"Q92870",323,1
"O95704",10307,1
"Q92624",10513,1
"Q9UM13",10393,1
"Q9NYG5",51529,1
"Q9BS18",25847,1
"P60006",25906,1
"Q96DE5",119504,1
"Q9H1A4",64682,1
"O95996",10297,1
"Q9UJX5",29945,1
"Q9UJX4",51433,1
"Q9UJX3",51434,1
"Q8J025",147495,1
"Q8NCL9",164284,1
"P25054",324,1
"Q9ULZ1",8862,1
"P27695",328,1
"Q9UBZ4",27301,1
"Q96BI3",51107,1
"Q8WW43",83464,1
"Q9BZZ5",8539,1
"P35414",187,1
"Q96LR9",81575,1
"Q8IW19",200558,1
"P51693",333,1
"Q06481",334,1
"Q9HDC9",57136,1
"P02647",335,1
"P02652",336,1
"Q6Q788",116519,1
"Q0VD83",55911,1
"P04114",338,1
"P02654",341,1
"P02655",344,1
"P02656",345,1
"P55056",346,1
"P05090",347,1
"P02649",348,1
"Q13790",319,1
"P02749",350,1
"O14791",8542,1
"Q9BQE5",23780,1
"O95236",80833,1
"Q9BPW4",80832,1
"Q9BWW9",80831,1
"Q9BWW8",80830,1
"O95445",55937,1
"Q9BUR5",79135,1
"Q96IL0",84334,1
"Q8IVJ8",339883,1
"F7VJQ1",5621,1
"Q53RT3",151516,1
"Q13794",5366,1
"Q7Z2E3",54840,1
"P07741",353,1
"A6NM10",653437,1
"Q8IXF9",375318,1
"Q96PS8",89872,1
"Q8NBQ7",282679,1
"P29972",358,1
"P41181",359,1
"Q92482",360,1
"P55087",361,1
"P55064",362,1
"Q13520",363,1
"O14520",364,1
"O94778",343,1
"O43315",366,1
"O60306",9716,1
"Q5H913",392509,1
"Q3SXY8",200894,1
"Q9Y2Y0",23568,1
"Q15041",23204,1
"Q66PJ3",51329,1
"Q8N6S5",151188,1
"P10398",369,1
"Q6UW56",51374,1
"Q96P48",116985,1
"Q8WZ64",116984,1
"Q8WWN8",64411,1
"P25098",156,1
"P35626",157,1
"Q92747",10552,1
"O15143",10095,1
"Q8IWT0",339487,1
"Q7LC44",23237,1
"P15514",374,1
"O15033",9870,1
"P84077",375,1
"P61204",377,1
"P18085",378,1
"P84085",381,1
"P62330",382,1
"Q8N6T3",55738,1
"Q8N6H7",84364,1
"Q9NP61",26286,1
"P53367",27236,1
